range,angle
555.6,1.44
601.9,1.53
648.2,1.62
694.5,1.74
740.8,1.86
787.1,1.95
833.4,2.04
879.7,2.115
926,2.19
972.3,2.28
1018.6,2.37
1064.9,2.475
1111.2,2.58
1157.5,2.67
1203.8,2.76
1250.1,2.85
1296.4,2.94
1342.7,3.03
1389,3.12
1435.3,3.21
1481.6,3.3
1527.9,3.39
1574.2,3.48
1620.5,3.57
1666.8,3.66
1713.1,3.75
1759.4,3.84
1805.7,3.93
1852,4.02
1898.3,4.11
1944.6,4.2
1990.9,4.29
2037.2,4.38
2083.5,4.47
2129.8,4.56
2176.1,4.65
2222.4,4.74
2268.7,4.86
2315,4.98
2361.3,5.1
2407.6,5.22
2453.9,5.34
2500.2,5.46
2546.5,5.58
2592.8,5.7
2639.1,5.82
2685.4,5.94
2731.7,6.06
2778,6.18
2824.3,6.3
2870.6,6.42
2916.9,6.54
2963.2,6.66
3009.5,6.78
3055.8,6.9
3102.1,7.02
3148.4,7.14
3194.7,7.26
3241,7.38
3287.3,7.5
3333.6,7.62
3379.9,7.74
3426.2,7.86
3472.5,7.98
3518.8,8.1
3565.1,8.22
3611.4,8.34
3657.7,8.46
3704,8.58
3750.3,8.7
3796.6,8.82
3842.9,8.94
3889.2,9.06
3935.5,9.18
3981.8,9.3
4028.1,9.42
4074.4,9.54
4120.7,9.66
4167,9.78
4213.3,9.9
4259.6,10.02
4305.9,10.14
4352.2,10.26
4398.5,10.41
4444.8,10.56
4491.1,10.71
4537.4,10.86
4583.7,11.01
4630,11.16
4676.3,11.31
4722.6,11.46
4768.9,11.61
4815.2,11.76
4861.5,11.91
4907.8,12.06
4954.1,12.21
5000.4,12.36
5046.7,12.51
5093,12.66
5139.3,12.81
5185.6,12.96
5231.9,13.11
5278.2,13.26
5324.5,13.41
5370.8,13.56
5417.1,13.71
5463.4,13.86
5509.7,14.01
5556,14.16
5602.3,14.31
5648.6,14.46
5694.9,14.61
5741.2,14.76
5787.5,14.91
5833.8,15.06
5880.1,15.21
5926.4,15.36
5972.7,15.51
6019,15.66
6065.3,15.81
6111.6,15.96
6157.9,16.14
6204.2,16.32
6250.5,16.5
6296.8,16.68
6343.1,16.86
6389.4,17.04
6435.7,17.22
6482,17.4
6528.3,17.58
6574.6,17.76
6620.9,17.94
6667.2,18.12
6713.5,18.3
6759.8,18.48
6806.1,18.66
6852.4,18.84
6898.7,19.02
6945,19.2
6991.3,19.38
7037.6,19.56
7083.9,19.77
7130.2,19.98
7176.5,20.19
7222.8,20.4
7269.1,20.61
7315.4,20.82
7361.7,21.03
7408,21.24
7454.3,21.45
7500.6,21.66
7546.9,21.87
7593.2,22.08
7639.5,22.29
7685.8,22.5
7732.1,22.71
7778.4,22.92
7824.7,23.13
7871,23.34
7917.3,23.58
7963.6,23.82
8009.9,24.06
8056.2,24.3
8102.5,24.54
8148.8,24.78
8195.1,25.02
8241.4,25.26
8287.7,25.5
8334,25.74
8380.3,26.01
8426.6,26.28
8472.9,26.55
8519.2,26.82
8565.5,27.09
8611.8,27.36
8658.1,27.6
8704.4,27.84
8750.7,28.14
8797,28.44
8843.3,28.74
8889.6,29.04
8935.9,29.34
8982.2,29.64
9028.5,29.97
9074.8,30.3
9121.1,30.63
9167.4,30.96
9213.7,31.32
9260,31.68
9306.3,32.04
9352.6,32.4
9398.9,32.79
9445.2,33.18
9491.5,33.6
9537.8,34.02
9584.1,34.59
9630.4,35.16
9676.7,35.64
9723,36.12
9769.3,36.48
9815.6,36.84
9861.9,39.18
9908.2,41.52
9954.5,
10000.8,